IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.19.242.94,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.17.33.82,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.17.32.82,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.19.241.94,443,true,HKG,Asia Pacific,Hong Kong,32 ms,0 kB/s
104.18.22.174,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.22.13.220,443,true,SJC,North America,San Jose,160 ms,0 kB/s
104.22.13.231,443,true,SJC,North America,San Jose,161 ms,0 kB/s
104.22.13.229,443,true,SJC,North America,San Jose,186 ms,0 kB/s
104.22.14.81,443,true,SJC,North America,San Jose,179 ms,0 kB/s
104.22.14.121,443,true,SJC,North America,San Jose,190 ms,0 kB/s
104.22.9.167,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.22.8.167,443,true,HKG,Asia Pacific,Hong Kong,32 ms,0 kB/s
104.21.28.244,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.21.33.38,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.22.14.138,443,true,SJC,North America,San Jose,185 ms,0 kB/s
104.22.14.231,443,true,SJC,North America,San Jose,159 ms,0 kB/s
104.22.15.25,443,true,SJC,North America,San Jose,188 ms,0 kB/s
104.22.16.99,443,true,LAX,North America,Los Angeles,206 ms,0 kB/s
104.25.53.160,443,true,SJC,North America,San Jose,162 ms,0 kB/s
104.22.34.164,443,true,HKG,Asia Pacific,Hong Kong,32 ms,0 kB/s
172.67.4.54,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
104.22.35.164,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
172.67.23.184,443,true,HKG,Asia Pacific,Hong Kong,32 ms,0 kB/s
172.67.147.234,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
172.67.158.132,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
172.67.192.25,443,true,HKG,Asia Pacific,Hong Kong,33 ms,0 kB/s
